Source,Listed Name,Name edited to match name in ARM,Edit made to name,Name in ARM,WRA Risk Result,% Major Invader,% Minor Invader,% Non-Invader Invader,% Suitable Reported,Qualitative Rating,Justification for Qualitative Rating,Blank,Taxon Unit Type,Pest Notes,Taxonomy Kingdom,Taxonomy Division,Taxonomy Phylum,Taxonomy Class,Taxonomy Subclass,Taxonomy Superorder,Taxonomy Order,Taxonomy Family,Taxonomy Genus,Taxonomy Species,Taxonomy Subspecies,Author
FNW List from PPRA Weed Team Tracking Log (11/15/24),Ottelia alismoides,Ottelia alismoides,,Ottelia alismoides,,,,,,Moderate,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Alismatales,Hydrocharitaceae,Ottelia,alismoides,0,(L.) Pers.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Paspalum scrobiculatum,Paspalum scrobiculatum,,Paspalum scrobiculatum,High,71.2,27.6,1.2,4,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Paspalum,scrobiculatum,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Pennisetum clandestinum,Pennisetum clandestinum,,Pennisetum clandestinum,,,,,,High,Char,,Species,Current accepted name is Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Pennisetum,clandestinum,0,Hochstetter Ex Chiovenda
FNW List from PPRA Weed Team Tracking Log (11/15/24),Pennisetum macrourum,Pennisetum macrourum,,Pennisetum macrourum,,,,,,Moderate,Temporary rating,,Species,"Current accepted name is Cenchrus caudatus (Schrad.) Kuntze, Federal Noxious Weed",Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Pennisetum,macrourum,0,Trinius
FNW List from PPRA Weed Team Tracking Log (11/15/24),Pennisetum pedicellatum,Pennisetum pedicellatum,,Pennisetum pedicellatum,High,90.2,9.5,0.3,10,N/A,,,Species,The curent accepted name is Cenchrus pedicellatus (Trin.) Morrone. FNW,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Pennisetum,pedicellatum,0,Trinius
FNW List from PPRA Weed Team Tracking Log (11/15/24),Pennisetum polystachion,Pennisetum polystachion,,Pennisetum polystachion,High,96.4,3.5,0.1,25,N/A,,,Species,Current accepted name is Cenchrus polystachios (L.) Morrone subsp. polystachios,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Pennisetum,polystachion,0,(L.) Schult.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Phelipanche spp.,Phelipanche,remove spp.,Phelipanche,High,94.2,5.6,0.2,2,N/A,,,Genus,Parasitic Plant Genus,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Phelipanche,0,0,Pomel
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis alpataco,Prosopis alpataco,,Prosopis alpataco,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,alpataco,0,Phil.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis argentina,Prosopis argentina,,Prosopis argentina,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,argentina,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis articulata,Prosopis articulata,,Prosopis articulata,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,articulata,0,S. Watson
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis burkartii,Prosopis burkartii,,Prosopis burkartii,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,burkartii,0,Munoz
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis caldenia,Prosopis caldenia,,Prosopis caldenia,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,caldenia,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis calingastana,Prosopis calingastana,,Prosopis calingastana,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,calingastana,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis campestris,Prosopis campestris,,Prosopis campestris,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,campestris,0,Griseb.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis castellanosii,Prosopis castellanosii,,Prosopis castellanosii,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,castellanosii,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis denudans,Prosopis denudans,,Prosopis denudans,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,denudans,0,Benth.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis elata ,Prosopis elata,,Prosopis elata,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,elata,0,(Burkart) Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis farcta,Prosopis farcta,,Prosopis farcta,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,farcta,0,(Banks & Solander) J. F. Macbride
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis ferox,Prosopis ferox,,Prosopis ferox,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,ferox,0,Griseb.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis fiebrigii,Prosopis fiebrigii,,Prosopis fiebrigii,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,fiebrigii,0,Harms
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis hassleri,Prosopis hassleri,,Prosopis hassleri,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,hassleri,0,Harms
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis humilis,Prosopis humilis,,Prosopis humilis,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,humilis,0,Gilles Ex Hooker & Arnott
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis kuntzei,Prosopis kuntzei,,Prosopis kuntzei,,,,,,Moderate,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,kuntzei,0,Harms
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis pallida,Prosopis pallida,,Prosopis pallida,,,,,,High,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,pallida,0,Humboldt & Bonpland Ex Willdenow) H Bk
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis palmeri,Prosopis palmeri,,Prosopis palmeri,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,palmeri,0,S. Watson
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis reptans,Prosopis reptans,,Prosopis reptans,,,,,,Moderate,Temporary rating,,Variety,0,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,reptans,0,Benth.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis rojasiana,Prosopis rojasiana,,Prosopis rojasiana,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,rojasiana,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis ruizlealii,Prosopis ruizlealii,,Prosopis ruizlealii,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,ruizlealii,0,Burkart
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis ruscifolia,Prosopis ruscifolia,,Prosopis ruscifolia,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,ruscifolia,0,Griseb.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis sericantha,Prosopis sericantha,,Prosopis sericantha,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,sericantha,0,Hook.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis strombulifera ,Prosopis strombulifera,,Prosopis strombulifera,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,strombulifera,0,(Lam.)Benth.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Prosopis torquata,Prosopis torquata,,Prosopis torquata,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Prosopis,torquata,0,(Lag.)DC.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Rottboellia cochinchinensis,Rottboellia cochinchinensis,,Rottboellia cochinchinensis,High,87.7,11.9,0.4,15,N/A,,,Species,"Federal Noxious Weed.  Synonyms: Manisuris exaltata (L. f.) Kuntze, Rottboellia exaltata L. f., Stegosia cochinchinensis Lour.",Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Rottboellia,cochinchinensis,0,(Loureiro) Clayton
FNW List from PPRA Weed Team Tracking Log (11/15/24),Rubus fruticosis (complex),Rubus fruticosus,"removed ""complex"" and corrected species epithet  (changed ""i"" to ""u"")",Rubus fruticosus,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed.  Synonym of Rubus plicatus Weihe & Nees,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Rosales,Rosaceae,Rubus,fruticosus,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Rubus moluccanus ,Rubus moluccanus,,Rubus moluccanus,,,,,,Moderate,Temporary rating,,Variety,0,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Rosales,Rosaceae,Rubus,moluccanus,0,0
FNW List from PPRA Weed Team Tracking Log (11/15/24),Saccharum spontaneum,Saccharum spontaneum,,Saccharum spontaneum,High,94.6,5.2,0.2,0.8,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Saccharum,spontaneum,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Sagittaria sagittifolia,Sagittaria sagittifolia,,Sagittaria sagittifolia,Mod,32,62,6.1,0,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Alismatales,Alismataceae,Sagittaria,sagittifolia,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Sagittaria trifolia,Sagittaria sagittifolia,"changed to current name ""Sagittaria sagittifolia""",Sagittaria sagittifolia,High,60.6,37.4,1.9,0,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Alismatales,Alismataceae,Sagittaria,sagittifolia,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Salsola vermiculata,Salsola vermiculata,,Salsola vermiculata,,,,,,High,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Caryophyllales,Amaranthaceae,Salsola,vermiculata,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Salvinia auriculata,Salvinia auriculata,,Salvinia auriculata,,,,,,High,SME High rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Polypodiopsida,0,0,Salviniales,Salviniaceae,Salvinia,auriculata,0,Aubl.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Salvinia biloba,Salvinia biloba,,Salvinia biloba,,,,,,High,SME High rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Polypodiopsida,0,0,Salviniales,Salviniaceae,Salvinia,biloba,0,Raddi
FNW List from PPRA Weed Team Tracking Log (11/15/24),Salvinia herzogii,Salvinia herzogii,,Salvinia herzogii,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Polypodiopsida,0,0,Salviniales,Salviniaceae,Salvinia,herzogii,0,de la Sota
FNW List from PPRA Weed Team Tracking Log (11/15/24),Salvinia molesta,Salvinia molesta,,Salvinia molesta,,,,,,High,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Polypodiopsida,0,0,Salviniales,Salviniaceae,Salvinia,molesta,0,Mitchell
FNW List from PPRA Weed Team Tracking Log (11/15/24),Senecio inaequidens,Senecio inaequidens,,Senecio inaequidens,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Senecio,inaequidens,0,DC.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Senecio madagascariensis,Senecio madagascariensis,,Senecio madagascariensis,,,,,,Moderate,Temporary rating,,Species,"Federal Noxious Weed.  Distributional range: Native: AFRICA: Southern Africa: South Africa - Cape Province, Natal, Transvaal; Swaziland; Other: naturalized elsewhere",Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Senecio,madagascariensis,0,Poir.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Setaria pumila ssp. pallidefusca,Setaria pumila pallidefusca,remove ssp.,Setaria pumila pallidefusca,High,88.3,11.3,0.4,8,N/A,,,Subspecies,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Setaria,pumila,pallidefusca,(Schumacher) B.K. Simon
FNW List from PPRA Weed Team Tracking Log (11/15/24),Solanum tampicense,Solanum tampicense,,Solanum tampicense,,,,,,Moderate,Temporary rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Solanales,Solanaceae,Solanum,tampicense,0,Dunal
FNW List from PPRA Weed Team Tracking Log (11/15/24),Solanum torvum,Solanum torvum,,Solanum torvum,,,,,,High,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Solanales,Solanaceae,Solanum,torvum,0,Swartz
FNW List from PPRA Weed Team Tracking Log (11/15/24),Solanum viarum,Solanum viarum,,Solanum viarum,,,,,,High,SME High rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Solanales,Solanaceae,Solanum,viarum,0,Dunal
FNW List from PPRA Weed Team Tracking Log (11/15/24),Sparganium erectum,Sparganium erectum,,Sparganium erectum,,,,,,Moderate,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Typhales,Typhaceae,Sparganium,erectum,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Spermacoce alata,Spermacoce alata,,Spermacoce alata,Low,3.6,51.4,45,0,N/A,,,Species,Federal Noxious Weed.  Synonyms: Borreria alata (Aublet) De Candolle,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Gentianales,Rubiaceae,Spermacoce,alata,0,Aubl.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Spermacoce latifolia,Spermacoce alata,"Changed to current name ""Spermacoce alata"" based on note re regulatory status in PAGS: ""Technically, this species [Spermacoce latifolia] is not regulated as a weed or parasitic plant, but APHIS has been regulating it as a federal noxious weed because at the time that Spermacoce alata was listed as an FNW, S. latifolia was considered to be a synonym of S. alata""",Spermacoce alata,High,69.9,28.8,1.3,3.2,N/A,,,Species,Federal Noxious Weed.  Synonyms: Borreria alata (Aublet) De Candolle,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Gentianales,Rubiaceae,Spermacoce,alata,0,Aubl.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Striga spp.,Striga,remove spp.,Striga,High,94.8,5,0.2,1,N/A,,,Genus,FNW Genus. Parasitic Genus,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Striga,0,0,Lour.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Tridax procumbens,Tridax procumbens,,Tridax procumbens,High,84.2,15.3,0.6,25,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Tridax,procumbens,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Urochloa panicoides,Urochloa panicoides,,Urochloa panicoides,,,,,,High,Char,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Urochloa,panicoides,0,Beauvois
FNW List from PPRA Weed Team Tracking Log (11/15/24),Alectra vogeli,Alectra vogelii,"corrected misspelling (added ""i""at end)",Alectra vogelii,High,79.8,19.4,0.8,0,N/A,,,Species,FNW,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Alectra,vogelii,0,Benth.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Cuscuta japonica,Cuscuta japonica,,Cuscuta japonica,High,86.6,12.9,0.5,2,N/A,,,Species,FNW,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Solanales,Convolvulaceae,Cuscuta,japonica,0,Choisy
FNW List from PPRA Weed Team Tracking Log (11/15/24),Orobanche crenata,Orobanche crenata,,Orobanche crenata,,,,,,High,Char,,Species,FNW,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Orobanche,crenata,0,Forssk.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Striga asiatica,Striga asiatica,,Striga asiatica,High,91.5,8.2,0.3,0.5,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Striga,asiatica,0,(L.) Kuntze
FNW List from PPRA Weed Team Tracking Log (11/15/24),Striga gesnerioides,Striga,"changed to genus level based on comment in this spreadsheet: ""FNW* = Taxon is regulated at a higher taxonomic level, but not specifically listed""",Striga,,,,,,Moderate,Char,,Genus,FNW Genus. Parasitic Genus,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Striga,0,0,Lour.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Striga hermonthica,Striga,"changed to genus level based on comment in this spreadsheet: ""FNW* = Taxon is regulated at a higher taxonomic level, but not specifically listed""",Striga,,,,,,Moderate,Char,,Genus,FNW Genus. Parasitic Genus,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Striga,0,0,Lour.
