CAPS categ.,Risk Group,Scientific name,Common Name,Model,Predicted pest impact in US,Prob pest will cause high impacts,Prob pest will cause mod impacts,Prob pest will cause low impacts,Primary host(s),"Other important hosts (alternate, secondary, etc)",States at risk,Non-plant impacts?,Date completed
CATEGORY 1,Predicted to be a HIGH impact pest in the United States (low uncertainty),,,,,,,,,,,,
,A,Anoplophora chinensis,Citrus longhorned beetle,Arthropod,High,81.3%,16.2%,2.4%,"Citrus, elm, maple","Polyphagous, feeding on host species in upwards of 35 different plant families",All states,no,4/11/2018
,A,Blackcurrant Reversion Virus,BRV,Pathogen,High,74.0%,24.0%,2.0%,,,,No,8/1/2022
,A,Bursaphelenchus cocophilus,red ring nematode,Arthropod,High,89.2%,10.1%,0.7%,"palm trees (date palm, oil palm, coconut palm)",,"Florida, Georgia, Hawaii, North Carolina, Arizona, California, Massachusetts, Maryland, Nevada",no,3/20/2018
,A,Candidatus Phytoplasma aurantifolia',Witches’ Broom Disease of Lime,Pathogen,High,88.0%,11.0%,1.0%,Mexican lime,grapefruit,"Florida, Texas, California",No,7/24/2020
,A,Candidatus Phytoplasma australiense',Australian grapevine yellows,Pathogen,High,69.8%,27.6%,2.6%,grape; papaya,"polyphagous - other important hosts include potato, celery, pumpkin, strawberry, and boysenberry, cucumbers, alfalfa, raspberry, many others","All states, particularly California, Michigan, New York, Oregon, Pennsylvania, and Washington",No,9/30/2015
,A,Candidatus Phytoplasma palmae',Palm lethal yellowing phytoplasma,Pathogen,High,95.1%,4.5%,0.3%,palms,,"Florida, Georgia, South Carolina, North Carolina, Hawaii, Puerto Rico, Guam, American Samoa, US Virgin Islands, Arizona, California, Texas, Alabama, Washington, Oregon, Tennessee, Mississippi, Louisiana, New Mexico, Virginia",No,9/12/2018
,A,Candidatus Phytoplasma phoenicium',Almond witches' broom,Pathogen,High,87.1%,12.0%,0.9%,stone fruit,"reservoir: Anthemis sp., Smilax aspera",All states,No,9/30/2015
,A,Candidatus Phytoplasma prunorum',European stone fruit yellows,Pathogen,High,82.8%,15.9%,1.2%,"Prunus species (apricot, plum, peach, almond)",,Most states,no,3/21/2018
,A,Candidatus Phytoplasma vitis',Flavescence dorée,Pathogen,High,88.5%,10.7%,0.8%,grape ,"reservoir: Alnus glutinosa, Alnus incana, and Clematis vitalba","All states, particularly California, Michigan, New York, Oregon, Pennsylvania, and Washington",No,7/14/2015
,A,Cocadviroid coconut cadang-cadang viroid,CCCVd,Pathogen,High,81.8%,16.8%,1.3%,palms,,"Florida, Georgia, South Carolina, North Carolina, Hawaii, Puerto Rico, Guam, American Samoa, US Virgin Islands, Arizona, California, Texas, Alabama, Tennessee, Mississippi, Louisiana, New Mexico, Virginia",,9/12/2018
,A,Conopomorpha cramerella,Cocoa pod borer,Arthropod,High,82.0%,16.0%,2.0%,,,,No,8/1/2022
,A,Cronartium flaccidum,Scots pine blister rust,Pathogen,High,91.5%,8.0%,0.6%,pine,"polyphagous: Paeonia spp., Verbena spp., Impatiens spp., Veronica spp., Apocyum cannabium, Asclepisa spp., Caiophora lateritia, Castilleja miniata, Delphinium delavayi, Euphrasia spp., Grammatocarpus spp., Hyoscyamus niger, Loasa spp., Melampyrum spp., Nemesia spp., Nicotiana rustica, Pedicularis spp., Phtheirospermum japonicum, Physalis alkekengi, Rhinanthus spp., Ruellia spp, Saxifraga spp., Siphonostegia chinensis, Swertia fedtschenkoana, Tropaeolum spp., Vincetoxicum spp.",All states,No,8/30/2015
,A,Cydalima perspectalis,Box tree moth,Arthropod,High,85.0%,13.1%,1.9%,boxwood,,"Most states: Produced or naturalized along west coast, throughout eastern U.S., and in Hawaii, and grown almost everywhere.",No,6/19/2017
,A,Eurygaster integriceps,Sunn pest,Arthropod,High,76.0%,20.7%,3.3%,wheat and barley ,"Secale cereale (rye), Zea mays (maize), grasses (e.g., Agrotis, Avena, Bromos, Dactylis, Festuca, Lolium, and Poa spp.)",All states,No ,4/17/2015
,A,Fusarium oxysporum f. sp. cubense tropical race 4,Fusarium wilt of banana,Pathogen,High,93.7%,5.8%,0.4%,Banana,,"Hawaii, Florida, Puerto Rico, American Samoa, the Northern Mariana Islands, and Guam",No,10/15/2019
,A,Globodera rostochiensis ,Golden Nematode,Pathogen,High,77.5%,20.7%,1.7%,potato,"tomato, eggplant",All states,No,6/14/2019
,A,Harpophora maydis,Late wilt of corn,Pathogen,High,76.3%,21.8%,1.9%,corn,"Cotton (no econ damage), Lupinus albus, Lupinus termis",All states,No,8/6/2015
,A,Hymenoscyphus fraxineus,Ash dieback,Pathogen,High,92.5%,7.0%,0.5%,ash,,All states (except Alaska),No,6/23/2015
,A,Maruca vitrata,Bean pod borer,Arthropod,High,78.8%,18.4%,2.9%,"legumes (pigeonpea, soybean, hyacinth bean, lima bean, kudzu, cowpea)",Lonchocarpus spp. and Pterocarpus spp. are observed wild hosts,"Southern US, including plant hardiness zones 7-13",No,11/26/2018
,A,Megalurothrips usitatus,Bean flower thrips,Arthropod,High,73.0%,23.0%,4.0%,,,,No,8/1/2022
,A,Nilaparvata lugens,Brown-backed rice planthopper,Arthropod,High,67.3%,27.6%,5.0%,rice,,"California, Texas, Louisiana, Louisiana, Mississippi, Arkansas, Missouri, Illinois, Tennessee, South Carolina, Florida",No,7/24/2017
,A,Paysandisia archon,South American palm borer,Arthropod,High,79.6%,17.6%,2.7%,palms,,"Hawaii, southern California, western Arizona, southeastern Texas, the Gulf States, and the coastal plans of the southern coastal states",No,4/6/2015
,A,Phellinus noxius ,Brown root rot disease,Pathogen,High,65.0%,32.0%,3.0%,,,,No,3/4/2024
,A,Phytophthora kernoviae,Beech bleeding canker,Pathogen,High,82.8%,15.9%,1.3%,beech; also  Rhododendrons,"Polyphagous - e.g., Pieris spp., Magnolia spp., Quercus spp., Tsuga sp. (experimental), Others: Annona cherimola, Drimys winteri, Gevuina avellana, Hedera helix, Ilex aquifolium, Liriodendron tulipifera, Michelia doltsopa, Podocarpus salignus, Prunus laurocerasus, Vaccinium myrtillus ","All states at risk (but main hosts are not located in North Dakota, Iowa, Nebraska, Kansas, Arizona, or New Mexico)",No,7/24/2015
,A,Plenodomus tracheiphilus,Mal secco disease of citrus,Pathogen,High,86.0%,13.0%,1.0%,lemon,,"California, Arizona, Florida, and Texas",No,7/23/2020
,A,Potato spindle tuber viroid,PSTVd,Pathogen,High,70.0%,28.0%,3.0%,potatoes and tomatoes,Solanaceous crops and ornamentals,All states,No,12/30/2020
,A,Raffaelea quercivora,Japanese oak wilt,Pathogen,High,76.3%,21.8%,1.9%,oak,"Experimental hosts: Quercus coccinea, Quercus palustris, Quercus rubra",All states. known hosts occur in the US as ornamentals only,No,8/28/2015
,A,Ralstonia solanacearum race 3 biovar 2,Bacterial wilt,Pathogen,High,66.9%,30.2%,2.9%,"geranium, potato, eggplant","Also: tomato, pepper, Perlagonium X hortorum, Pelargonium spp., Solanum tuberosum",All/most states,No,9/6/2015
,A,Rastrococcus iceryoides,Mango mealybug,Arthropod,High,56.0%,36.1%,7.9%,"mango (large host range, but primarily mango)","Fabaceae, Malvaceae, Moraceae, Myrtaceae, Musaceae, Rubiaceae, Rutaceae, Vitaceae","Warmer areas, particularly mango growing such as Florida, California, Hawaii, and Puerto Rico",Yes - Honeydew may attract clouds of flies,2/15/2018
,A,Rastrococcus invadens,Mango mealybug,Arthropod,High,68.5%,26.7%,4.8%,"mango, citrus, frangipani, breadfruit, fig",,"Florida, California, Hawaii, Texas, Puerto Rico",Yes - Honeydew may attract clouds of flies,2/14/2018
,A,Rhynchophorus ferrugineus,Red palm weevil,Arthropod,High,71.0%,25.0%,4.0%,,,,No,3/21/2023
,A,Rice yellow mottle virus ,RYMV,Pathogen,High,53.0%,42.0%,5.0%,,,,No,3/4/2024
,A,Sogatella furcifera,white-backed planthopper,Arthropod,High,59.9%,33.3%,6.8%,rice,,"Arkansas, Texas, Louisiana, Mississippi, Missouri, and California",No,1/30/2018
,A,Stenoma catenifer,Avocado seed moth,Arthropod,High,77.9%,19.1%,3.0%,Avocado,,"California, Hawaii, Florida, Texas, Arizona",No,1/13/2020
,A,Tuta absoluta,Tomato leafminer,Arthropod,High,72.9%,23.2%,3.9%,tomato ,"There are references to other hosts in the family Solanaceae (Lycopersicon hirsutum, Solanum lyratum and Solanum sp.); Wild hosts that have been reported include Solanum nigrum, S. elaeagnifolium, Lycopersicon puberulum, Datura stramonium, D. ferox and Nicotiana glauca ","Coastal Washington, and Oregon. California , southern Nevada, eastern Arizona, Gulf coast states, south and eastern Georgia, and Carolina coast. ",No,4/24/2015
,A,Xanthomonas campestris pv. musacearum,"Banana Xanthomonas wilt, Xcm",Pathogen,High,91.0%,8.0%,1.0%,banana,,"Hawaii and Florida and the U.S. territories, Texas, Louisiana, and Alabama",No,1/15/2021
,"Predicted to be a high impact pest in the US, but with a higher degree of uncertainty",,,,,,,,,,,,
,B,Bactrocera zonata ,Peach Fruit Fly,Arthropod,High,67.30%,27.60%,5.00%,"Mango, guava, and stone fruit",,"Florida, Texas, California, and Hawaii",No,6/14/2019
,B,Cacopsylla pyri,Pear sucker psylla,Arthropod,High,52.10%,38.80%,9.10%,Pear,,"Primarily California, Michigan, New York, Oregon, Pennsylvania, Washington",No,9/6/2019
,B,Ceratocystis manginecans ,Mango Sudden Fungus Decline,Pathogen,High,71.20%,26.40%,2.40%,Mango,,"Florida, California, Texas, Hawaii, Arizona, Oregon",No,6/14/2019
,B,Conogethes punctiferalis,Castor capsule borer,Arthropod,High,51.70%,40.70%,9.60%,"corn, chestnuts, tropical fruits, cotton, castor bean",polyphagous,Southern and western states as well as warmer states in central and eastern US,No,9/20/2019
,B,Cryptoblabes gnidiella,Christmas berry webworm,Arthropod,High,57.3%,35.1%,7.5%,"Citrus, avocado, pomegranate, grape",highly polyphagous; often a secondary pest,"Southern and Pacific United States: Washington, Oregon, California, Nevada, Arizona, New Mexico, Texas, Oklahoma, Arkansas, Louisiana, Tennessee, Mississippi, Alabama, Virginia, Delaware, Maryland, North Carolina, South Carolina, Georgia, Florida",No,11/23/2016
,B,Cucumber green mottle mosaic virus,Cucumber green mottle mosaic (CGMMV),Pathogen,High,57.5%,38.2%,4.3%,cucurbit crops ,"cucumbers, watermelon, cantaloupe, summer and winter squash, bottle gourd, pumpkins, and loofah",All states (including parts of Alaska),No,8/28/2015
,B,Dendrolimus sibiricus,Siberian silk moth,Arthropod,High,58.6%,34.2%,7.1%,"conifers, esp. pine","Abies (fir), Larix (larch), Picea (spruce), Pinus (pine), and Tsuga (hemlock) others","Northern states: (Alaska and most of the continental states, except for southern states and southern California and Arizona)",No,3/27/2015
,B,Earias insulana,Egyptian stem borer,Arthropod,High,53.0%,38.0%,9.0%,,,,No,3/21/2023
,B,Earias vittella,Shoot and fruit borer,Arthropod,High,64.0%,30.0%,6.0%,,,,No,3/21/2023
,B,Fijivirus Fiji disease virus,Fiji Disease of Sugar Cane,Pathogen,High,79.0%,20.0%,2.0%,,,,No,7/15/2022
,B,Halotydeus destructor,Red legged earth mite,Arthropod,High,50.7%,39.7%,9.6%,"alfalfa, clover (*The plant crops are not economic crops in and of themselves, the economic losses are often associated with the sheep)","Polyphagous, attacking cereals, ornamentals, and vegetable crops, particularly pestiferous","Washington, Oregon, California, Arizona, are most at risk; Small portions of New Mexico, Texas, Oklahoma, Mississippi may also be at risk.",Yes- Secondary impacts to animals reduces both the abundance of forage and also palatability to the sheep.,4/30/2015
,B,Heilipus lauri,Big avocado seed weevil,Arthropod,High,51.0%,40.0%,10.0%,,,,No,4/25/2024
,B,Hemileia vastatrix,Coffee leaf rust,Pathogen,High,61.0%,35.0%,4.0%,Coffee,,"California, Hawaii, Puerto Rico, US Virgin Islands",No,4/2/2020
,B,Laodelphax striatellus,Small brown plant hopper,Arthropod,High,58.6%,34.2%,7.1%,"polyphagous on grasses, including oats, barley, rice, wheat, corn; wild hosts include crabgrass, orchardgrass, ryegrasses, etc.",,Most of states except in the very north,No,4/7/2015
,B,Leguminivora glycinivorella,Soybean pod borer,Arthropod,High,57.3%,35.1%,7.5%,Soybeans,"kudzu, necklacepod","Eastern, southern, and central states",No,4/22/2019
,B,Oryctes rhinoceros ,Coconut Rhinoceros Beetle,Arthropod,High,54.7%,37.0%,8.3%,polyphagous on palms,,"southern portions of Alabama, Arizona, California, Florida, Louisiana, Mississippi, and Texas. Hawaii",No,6/14/2019
,B,Ostrinia furnacalis,Asian corn borer,Arthropod,High,52.1%,38.8%,9.1%,"corn, cotton",,Most of U.S.,No,9/29/2017
,B,Peronosclerospora maydis,Java Downy Mildew,Pathogen,High,63.9%,32.8%,3.3%,"corn, sorghum",,"Most of U.S., especially in the southern US where climate may be more favorable.",No,9/7/2018
,B,Peronosclerospora philippinensis,Philippine Downy Mildew,Pathogen,High,55.9%,39.5%,4.6%,"corn, sorghum, and sugarcane",Some other non-commercial Poaceae,"All of U.S., except for Alaska",No,9/12/2018
,B,Phytophthora alni,Alder root and collar rot,Pathogen,High,76.3%,21.8%,1.9%,alder (Alnus spp.),,Most commonly eastern forests and Northwestern coast; most states ,No,9/1/2015
,B,Puccinia graminis Pers. f. sp. tritici,"black stem rust, wheat stem rust",Pathogen,High,68.3%,28.9%,32.7%,restricted to Triticum species (wheat),,"All wheat-producing states (Texas to Montana, North Dakota, Minnesota, South Dakota, Washington, Oregon, Idaho, Michigan, New York)",no,12/12/2017
,B,Pyricularia oryzae Triticum pathotype (Magnaporthe oryzae Triticum pathotype),Wheat blast,Pathogen,High,52.5%,42.2%,5.2%,wheat ,"Other grasses, esp. Avena spp. as well as Lolium spp., Echinochloa spp.","All states but high production states include Arkansas, California, Louisiana, Mississippi, Missouri, Texas, Kansas, North Dakota, Ohio, Oklahoma, Illinois, and Michigan",No,9/3/2015
,B,Rhabdoscelus obscurus,New Guinea sugarcane weevil,Arthropod,High,52.1%,38.8%,9.1%,Sugarcane,palms,"Arizona, California, Florida, Louisiana, Texas",No,1/13/2020
,B,Rhagoletis cerasi,European cherry fruit fly,Arthropod,High,52.1%,38.8%,9.1%,cherries,honeysuckle,Northern U.S. and much of the midwestern and western states. Plant Hardiness Zones 4-9,No,2/29/2016
,B,Synchytrium endobioticum,Potato wart,Pathogen,High,59.1%,36.8%,4.0%,potato,,"Alaska, California, Colorado, Idaho, Iowa, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Montana, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia, Washington, and Wisconsin. The top potato producing states are: Idaho, Washington, North Dakota, Wisconsin, Colorado, and Maine",No,2/11/2019
,B,Thaumatotibia leucotreta,False codling moth  ,Arthropod,High,67.3%,27.6%,5.0%,Citrus,"Highly polyphagous: e.g., macadamia (Macadamia spp.; Proteaceae, avocado stone fruits, guava, oak (Quercus spp.; Fagaceae), sugarcane, corn, acacia, tea, eugenia, cotton, litchi, eggplant ","Southern and Pacific States:  West Coast, Arizona, the Gulf States, Alabama, Georgia, South Carolina, the extreme Coastal Plains of North Carolina, throughout Hawaii, and Puerto Rico ",No,4/9/2015
,B,Thaumetopoea pityocampa,Pine processionary moth,Arthropod,High,52.1%,38.8%,9.1%,conifers ,,"Continental states, Hawaii and coastal Alaska",Yes- health impacts from hairs,4/10/2015
,B,Thrips parvispinus,Tobacco thrips,Arthropod,High,60.0%,33.0%,7.0%,,,,No,4/15/2024
,B,Trioza erytreae,African citrus psyllid,Arthropod,High,61.0%,32.0%,7.0%,Lemon,Citrus,"California, Arizona, Texas, Florida, Georgia, and Louisiana",No,1/14/2021
,B,Trogoderma granarium,Khapra beetle,Arthropod,High,59.9%,33.3%,6.8%,general storage pest,,This organism is only found in storage and could occur anywhere in the United States where stored hosts occur.,Yes- Exposure or consumption of hairs from the larvae can cause skin irritation or even ulcerative colitis ,3/27/2015
,Probability of being a high impact pest vs moderate impact pest is roughly equivalent (w/in 10 percentage points),,,,,,,,,,,,
,C,Acanthotomicus suncei,Sweetgum inscriber,Arthropod,High,47%,42%,11%,Sweetgum,,Southeastern states with sweetgum trees,No,9/6/2019
,C,Aclees taiwanensis,Black fig weevil,Arthropod,Moderate,39%,46%,15%,,,,No,6/12/2023
,C,Adoxophyes orana ,Summer Fruit Tortrix Moth,Arthropod,High,45%,43%,12%,"pome and stone fruits, including apples, pears, peaches, plums, apricots, sweet and sour cherries, and other fruits.","blackberry, raspberry, and strawberry, as well as lilac and rose and deciduous trees","California, Illinois, Indiana, Maryland, Missouri, Oklahoma, Texas, and some regions of the southeastern United States",No,5/22/2019
,C,Amrasca biguttula,Cotton jassid,Arthropod,Mod/High,44%,44%,12%,,,,No,9/27/2023
,C,‘Candidatus Phytoplasma ziziphi’,Jujube witches’ broom,Pathogen,High,48%,46%,6%,Jujube,"Peach, sweet cherry, apple, persimmon","Any state with host plants may be at risk for establishment, but incidence would like vary depending on the host.",No,9/27/2019
,C,Carposina sasakii,Peach fruit moth,Arthropod,High,44%,44%,12%,"pome and stone fruit crops, including apple, peach, pear, plum",,"Entire United States, wherever hosts are grown",No,9/6/2019
,C,Chrysanthemum stem necrosis virus,CSNV,Pathogen,Mod/High,47%,46%,6%,,,,No,4/25/2024
,C,Cydia splendana,Nut fruit tortrix,Arthropod,High,48%,41%,11%,"chestnut, oak",,"Eastern states and California, Florida, Iowa, Michigan, Ohio, Oregon, and Virginia",No,9/14/2020
,C,Diabrotica speciosa,South American corn rootworm,Arthropod,High,48%,41%,11%,"chestnut, oak",,"Eastern states and California, Florida, Iowa, Michigan, Ohio, Oregon, and Virginia",No,1/22/2024
,C,Globodera pallida,Pale cyst nematode,Pathogen,High,49%,45%,6%,potato,,"Idaho, Washington, Wisconsin, California, Colorado, Oregon, Minnesota, Michigan, Maine, Texas, Florida, Nebraska, New York, Montana, North Carolina, Illinois, Missouri, Virginia, and Kansas",No,7/24/2019
,C,Grapholita funebrana,Plum fruit moth,Arthropod,High,48%,41%,11%,Plum,"peach, apricot, sweet cherry, sour cherry","Most states, except for the warmer areas",No,10/15/2019
,C,Helicoverpa armigera,Old world bollworm,Arthropod,High,48.1%,41.4%,10.6%,highly polyphagous,,"Organism is highly migratory and damage outside areas where it can establish may occur; states most at risk include the Pacific, the Southern half of the US.",No,4/15/2015
,C,Heteronychus arator,Black Maize Beetle,Arthropod,Moderate,41.5%,45.2%,13.4%,"pasture grasses, corn, grapes, potato","eucalyptus, pineapple, other graminaceous crops","Most southern states, California, and Hawaii.",No,9/20/2018
,C,Lampides boeticus,Pea blue butterfly,Arthropod,Moderate,41.0%,45.0%,13.0%,,,,No,3/21/2023
,C,Leptocorisa acuta,Rice Bug,Arthropod,High,47.0%,42.0%,11.0%,Rice,,"California, Louisiana, Mississippi, and Texas",No,9/17/2020
,C,Neoleucinodes elegantalis,Tomato fruit borer,Arthropod,High,49.4%,40.5%,10.1%,"green peppers, tomatoes, eggplants",oligophagous pest mainly associated with cultivated species of the family Solanaceae,"Pacific coast and along the southern states, particularly near coastal areas: Washington, Oregon, California, Arizona, Texas, Louisiana, Florida. Also Hawaii. ",No,4/7/2015
,C,Omphisa anastomosalis,Sweetpotato vine borer,Arthropod,High,44.0%,44.0%,12.0%,,,,No,6/12/2023
,C,Phlyctinus callosus,Garden weevil,Arthropod,Moderate,42.8%,44.5%,12.8%,"carrot, blueberry, asparagus, strawberry, apple, grape",,"All states, including California",No,9/23/2019
,C,Platypus quercivorus,Oak ambrosia beetle,Arthropod,High,48.1%,41.4%,10.6%,oaks ,"Polyphagous (e.g. 45 species in 17 families have been reported as hosts) but preferentially attacks species in Fagaceae at significantly higher levels, particularly Oaks (Quercus) ",Entire United States,No,3/24/2015
,C,Rice Hoja Blanca Tenuivirus,RHBV,Pathogen,Moderate,44.0%,49.0%,7.0%,,,,No,6/25/2021
,C,Rice ragged stunt virus ,RRSV,Pathogen,High,51.0%,44.0%,5.0%,,,,No,3/4/2024
,C,Rhynchophorus palmarum,South American palm weevil,Arthropod,High,41.0%,45.0%,13.0%,,,,No,3/21/2023
,C,Scirpophaga incertulas,yellow stem borer,Arthropod,Moderate,39.0%,46.0%,15.0%,,,,No,7/14/2022
,C,Scirtothrips aurantii,South African citrus thrips,Arthropod,Moderate,41.0%,45.0%,13.0%,,,,No,5/10/2024
,C,Southern rice black-streaked dwarf virus,SRBSDV,Pathogen,High,51.0%,44.0%,5.0%,,,,No,3/4/2024
,C,Spodoptera litura,Cotton cutworm,Arthropod,Moderate,42.8%,44.5%,12.8%,highly polyphagous,,"All continental states except Montana, North Dakota, Minnesota, and limited range in other northern states. Coastal Alaska. ",No,4/23/2015
,C,Tecia solanivora,Guatemalan potato tuber moth,Arthropod,High,46.7%,42.2%,11.1%,potatoes,,"Hawaii, Coastal regions of Washington and Oregon. Most of California, Arizona, Texas and across the southern states. Organism may also occur in storage areas for potato outside of this range. Organism is highly migratory and seasonal damage outside of this range may occur. ",No,4/24/2015
,C,Tetropium fuscum,Brown spruce longhorn beetle,Arthropod,High/Moderate,44.0%,44.0%,12.0%,spruce,"Scots pine, larch","northeastern, midwestern and northwestern United States",No,4/2/2020
,"Predicted to be a moderate impact pest, but probability of being high impact is >20% (cause high impacts when environmental conditions are right)",,,,,,,,,,,,
,D,Agrilus biguttatus,Oak splendour beetle,Arthropod,Moderate,21.3%,50.0%,28.7%,oak,Fagus sylvatica and Castanea sativa,"All states, especially Eastern",No,3/25/2015
,D,Agrilus mali,Apple buprestid beetle,Arthropod,Moderate,20.4%,49.7%,29.9%,"apple, pear",,All states,No,9/7/2017
,D,Anthonomus rubi,Strawberry blossom weevil,Arthropod,Moderate,33.0%,49.0%,18.0%,"Strawberry, raspberry, blackberry",Rose,Most states in plant hardiness zones 5-9,No,3/17/2021
,D,Asproparthenis punctiventris,Sugar beet weevil,Arthropod,Moderate,36.0%,48.0%,16.0%,,,,No,3/19/2024
,D,Autographa gamma,Silver Y moth,Arthropod,Moderate,28.2%,50.0%,21.7%,"Highly polyphagous; grapes, berries, vegetables, others",,"Most states, plant hardiness zones 3-11",No,2/15/2018
,D,Bactrocera tsuneonis,Japanese orange fly,Arthropod,Moderate,32.0%,49.0%,19.0%,,,,No,4/25/2024
,D,Cameraria ohridella ,Horse-chestnut leaf miner,Arthropod,Moderate,36.0%,48.0%,16.0%,white-flowered horse-chestnut,,"Eastern states (Maine to Georgia), Midwest, Pacific northwest",No,9/4/2020
,D,Candidatus Phytoplasma mali',Apple proliferation,Pathogen,Moderate,33.2%,55.9%,10.9%,apple,,"All states, (excluding North Dakota and Hawaii) major production in Pacific NW and Northeast",No,8/26/2015
,D,Candidatus Phytoplasma solani',Bois noir; Stolbur,Pathogen,Moderate,22.5%,60.1%,17.3%,"polyphagous, but grapes are major host","polyphagous: Mainly corn and Solanum spp. (potato, tomato, eggplant), Paeonia spp., Prunus spp., Rhododendron spp., and a few others ","All states, particularly for grape: California, Michigan, New York, Oregon, Pennsylvania, and Washington",No,7/7/2015
,D,Cecidophyopsis ribis,Currant bud mite,Arthropod,Moderate,32.0%,49.0%,19.0%,,,,No,2/16/2024
,D,Ceroplastes japonicus,Japanese wax scale,Arthropod,Moderate,28.2%,50.0%,21.7%,"citrus, persimmon, Bay laurel, stone fruit, holly, ornamentals, and greenhouse","Highly polyphagous on a wide variety of woody species, primarily hosts including orchard trees and ornamentals",All states,No,3/30/2015
,D,Chilo suppressalis,Asiatic rice borer,Arthropod,Moderate,23.2%,50.2%,26.6%,rice,"corn, sorghum, some wild hosts, grasses. Appears to only be a pest of corn near rice",Entire United States,No,4/7/2015
,D,Chrysodeixis chalcites ,Golden Twin Spot Moth,Arthropod,Moderate,33.9%,48.5%,17.5%,polyphagous; solanaceous vegetables and beans,greenhouse plants,"southern United States, California, and Hawaii, but more northern areas may be reached by individuals migrating during the summer or surviving in greenhouses",No,6/14/2019
,D,Citrus sudden death-associated virus,Citrus sudden death,Pathogen,Moderate,33.0%,56.0%,11.0%,,,,No,6/25/2021
,D,Coniothyrium glycines,Red blotch of soybean,Pathogen,Moderate,34.7%,55.0%,10.3%,soybeans,"Glycine spp., Neonotonia wightii ","45 states, Mainly grown in Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, and Wisconsin",No,7/24/2015
,D,Conotrachelus perseae ,Small avocado seed weevil,Arthropod,Moderate,33.0%,49.0%,18.0%,,,,No,2/16/2024
,D,Crocidosema aporema,Bud Borer,Arthropod,Moderate,30.5%,49.6%,20.0%,"soybean, alfalfa, peanut, peas, beans, and vetch",,"The majority of the southern US, and potentially some additional in the northern regions",No,9/12/2018
,D,Cucumber vein yellowing virus,CVYV,Pathogen,Moderate,29.0%,58.0%,13.0%,,,,No,5/23/2024
,D,Dendrolimus pini,Pine-tree lappet,Arthropod,Moderate,29.3%,49.8%,20.8%,pine,"coniferous plants including: fir, cedar, juniper, spruce, Douglas-fir, and larch","Entire United States, and Alaska. Primary host Pinus sylvestris found in Maryland and north through New England, with some distribution in Wisconsin and Illnois.",Yes- health impacts from hairs,3/25/2015
