CAPS categ.,Risk Group,Scientific name,Common Name,Model,Predicted pest impact in US,Prob pest will cause high impacts,Prob pest will cause mod impacts,Prob pest will cause low impacts,Primary host(s),"Other important hosts (alternate, secondary, etc)",States at risk,Non-plant impacts?,Date completed
,D,Dendrolimus punctatus,Masson pine moth,Arthropod,Moderate,28.2%,50.0%,21.7%,pine,"The primary host of this species is Scots pine (Pinus sylvestris) (Sierpińska, 1998); it can also feed on other Pine spp. and coniferous plants including: fir, cedar, juniper, spruce, Douglas-fir, and larch","Most of the continental states, except for Montana, North Dakota, Minnesota. With limited areas of Wyoming, South Dakota, Wisconsin, Iowa, Colorado, and New England states. The East coast from Delaware through the southern states to eastern Texas is of increased concern. ",Yes- health impacts from hairs,3/26/2015
,D,Dendrolimus superans,White-lined silk moth,Arthropod,Moderate,29.3%,49.8%,20.8%,Conifers,,"Most of the continental United States except for warm, coastal or desert areas.",Yes- health impacts from hairs,9/27/2019
,D,Diabrotica speciosa [cancelled - updated to 1C 1/22/24],Cucurbit beetle,Arthropod,Moderate,32.8%,48.9%,18.3%,"highly polyphagous: most important hosts include corn cucurbits, soybean, potato, peanuts, pepper, sunflower, and wheat",,"Most of the continental states, except Montana, North Dakota, and Minnesota. Coastal Alaska , Hawaii and Puerto Rico.",Yes- health impacts from hairs,3/27/2015
,D,Ditylenchus gigas,Giant stem and bulb nematode,Pathogen,Moderate,21.4%,60.3%,18.3%,fava bean (Vicia faba),wheat (Triticum aestivum) and few others like Lamium spp. and Pisum spp.,"All states with both hosts, but fava bean mainly in Northeast/New England area, West coast, and Mississippi.",No,9/3/2015
,D,Erthesina fullo,Yellow-spotted stink bug,Arthropod,Moderate,23.0%,50.0%,27.0%,,,,No,2/16/2024
,D,Eurytoma amygdali,Almond seed wasp,Arthropod,Moderate,24.0%,50.0%,26.0%,almond,,"primarily California, with the addition of small almond growing areas in Arizona, Texas, and South Carolina",No,1/14/2021
,D,Garella musculana,Asian walnut moth,Arthropod,Moderate,27.0%,50.0%,23.0%,,,,No,6/12/2023
,D,Gymnandrosoma aurantianum,Citrus fruit borer,Arthropod,Moderate,33.9%,48.5%,17.5%,Citrus,,"California, Florida, and other warm humid states with citrus production",No,1/13/2020
,D,Helicoverpa gelotopoeon,South American bollworm moth,Arthropod,Moderate,30.0%,50.0%,20.0%,cotton,"chickpea, tomato, soybean",All southern states,No,7/23/2020
,D,Heterodera ciceri,chickpea cyst nematode,Pathogen,Moderate,22.5%,60.1%,17.3%,"legumes (chickpea, lentil, pea)",,"Most states, especially the Pacific northwest",No,3/27/2018
,D,Hylobius abietis,Large Pine Weevil,Arthropod,Moderate,22.2%,50.1%,27.7%,"conifers, specifically pine, spruce, and fir",,Most of the United States,No,9/19/2018
,D,Ips typographus,European Spruce Bark Beetle,Arthropod,Moderate,29.3%,49.8%,20.8%,Norway spruce,,"Most of the United States, particularly Pennsylvania, New Jersey, Connecticut, New York, and Rhode Island",No,1/13/2020
,D,Lymantria monacha,Nun moth,Arthropod,Moderate,38.0%,47.0%,15.0%,"conifers, particularly pine and spruce",,"California, Oregon, and Washington, and the northern- and mid-Atlantic coast where pine and spruce forests are common",Yes - potential skin irritant,12/6/2019
,D,Megaplatypus mutatus,Ambrosia beetle,Arthropod,Moderate,28.2%,50.0%,21.7%,polyphagous on trees,"Acacia, Acer, Ailanthus, Balfourodendron, Callophylum, Casuarina, Cedrela, Citrus, Erythrina, Eucalyptus, Fraxinus, Grevillea, Laurus, Ligustrum, Liquidambar, Mgnolia, malus, Melia, Persea, Pinus, Platanus, Populus, Pyrus, Quercus, Robinia, Salix, Taxodium, Tilia, Ulmus","Entire Untied States with highest concern along the Gulf Coast, Pacific Coast, and southeastern Arizona. ",No,4/23/2015
,D,Melanagromyza sojae,Soybean stem fly,Arthropod,Moderate,22.0%,50.0%,28.0%,,,,No,5/10/2024
,D,Meloidogyne artiellia,British Root-knot Nematode,Pathogen,Moderate,33.2%,55.9%,10.9%,"wheat, chickpea","barley, oat, rapeseed, fava bean, vetch, and lentil","North Dakota, Kansas, Washington, Montana, Minnesota, Idaho, Oklahoma, Colorado, Texas, Oregon, Whyoming, Wisconsin, South Dakota, Iowa, Nebraska, Pennsylvania, Michigan, Illinois, Ohio, and California. Additional states containing these hosts are New York, Arizona, Florida, Georgia, North Carolina, South Carolina, Missouri",No,9/12/2018
,D,Meloidogyne coffeicola,Coffee root-knot nematode,Pathogen,Moderate,36.0%,54.0%,10.0%,,,,No,7/31/2024
,D,Orthotospovirus groundnut bud necrosis,Groundnut Bud Necrosis Orthotospovirus,Pathogen,Moderate,28.9%,58.1%,13.0%,"polyphagous: peanuts, tomatos, peas, cucumbers, and squash","Also: mung bean, sweet and chilli peppers, watermelon, and eggplant",All states,No,3/22/2016
,D,Oxycarenus hyalinipennis,Cotton seed bug,Arthropod,Moderate,35.2%,48.1%,16.8%,"cotton, hibiscus, hollyhock","For reproduction of Oxycarenus hyalinipennis to occur, seeds of host plants within the order Malvales must be present",Entire United States. Organism may also occur in storage area for cotton. ,"Nuisance pest:  Congregates in large numbers on buildings, shrubs, trees, and wild and cultivated plants, resulting in an unpleasant odor. It is also attracted by light and harasses people at night in lighted areas.",4/10/2015
,D,Pammene fasciana,Chestnut leaf roller,Arthropod,Moderate,33.0%,49.0%,18.0%,,,,No,6/7/2023
,D,Panolis flammea,Pine Beauty Moth,Arthropod,Moderate,21.3%,50.0%,28.7%,pines,,Lodgepole pine is found mostly in the midwest or western United States and scots pine is found predominately in the northeast United States,No,9/12/2018
,D,Peronosclerospora sacchari,Sugarcane downy mildew,Pathogen,Moderate,43.0%,50.0%,8.0%,"corn, sugarcane",,"Alabama, Arizona, Arkansas, California, Florida, Georgia, Hawaii, Louisiana, South Carolina, and Texas",No,9/14/2020
,D,Phloeotribus scarabaeoides,Olive Bark Beetle,Arthropod,Moderate,22.6%,50.2%,27.2%,olive,"ash, jasmine","All olive producing states, especially California",No,11/15/2016
,D,Phytophthora multivesiculata ,Leaf rot,Pathogen,Moderate,33.0%,56.0%,11.0%,,,,No,4/25/2024
,D,Potato yellow vein virus,PYVV,Pathogen,Moderate,26.0%,59.0%,15.0%,potato,tomato,"California, Colorado, Florida, Idaho, Maine, Michigan, Minnesota, North Dakota, Oregon, Texas, Washington, and Wisconsin, while significant tomato production occurs in California, Colorado, Florida, Hawaii, Illinois, Indiana, Kentucky, Maine, Michigan, Minnesota, Missouri, Nebraska, New Jersey, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Texas, and Virginia",No,9/14/2020
,D,Praelongorthezia praelonga,Croton bug,Arthropod,Moderate,23.2%,50.2%,26.6%,citrus,"highly polyphagous; many ornamentals (e.g. Malpighia, Bougainvillea, Spathodea, Codiaeum and Plumeria)","Pacific coast and along the southern states, particularly near coastal areas: Washington, Oregon, California, Arizona, Texas, Louisiana, Florida",No,4/23/2015
,D,Prays citri ,Citrus flower moth,Arthropod,Moderate,29.0%,50.0%,21.0%,,,,No,3/19/2024
,D,Pseudomonas syringae pv. actinidiae,Bacterial canker of kiwifruit,Pathogen,Moderate,35.0%,55.0%,10.0%,kiwi,,"Alabama, California, Connecticut, Florida, Georgia, Iowa, Kentucky, Maryland, Mississippi, Missouri, New Hampshire, New York, North Carolina, Ohio, Oregon, Pennsylvania, South Carolina, Tennessee, Vermont, Virginia, Washington, West Virginia, and Wisconsin",No,9/15/2020
,D,Pseudopezicula tracheiphila,Rotbrenner,Pathogen,Moderate,21.4%,60.3%,18.3%,grape,"Parthenocissus spp., other experimentals","All states, particularly for grape: California, Michigan, New York, Oregon, Pennsylvania, and Washington",No,9/11/2015
,D,Semanotus sinoauster,China fir borer,Arthropod,Moderate,36.4%,47.6%,16.0%,Chinese fir (Cunninghamia lanceolata),,"Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, and South Carolina",No,9/27/2019
,D,Tetropium castaneum,Black spruce beetle,Arthropod,Moderate,24.1%,50.3%,25.6%,Stressed or dead spruce,"Fir, pine, larch",Most of the continental United States except the warmest areas,No,9/27/2019
,D,Thaumetopoea processionea,Oak processionary moth,Arthropod,Moderate,25.1%,50.3%,24.6%,oak,,"Most of the continential states except Montana, North Dakota, Minnesota with limited area of South Dakota, Wisconsin, Iowa, and the New England states. Organism could establish in urban areas with suitable host plants. ",Yes- health impacts from hairs,4/24/2015
,D,Tomato Leaf Curl New Delhi Virus,ToLCNDV,Pathogen,Moderate,29.0%,58.0%,13.0%,,,,No,12/29/2023
,D,Tremex fuscicornis,Tremex woodwasp,Arthropod,Moderate,23.2%,50.2%,26.6%,polyphagous on trees ,"Aceraceae - Acer spp (maple), Betulaceae - Alnus spp. (alder), Betula spp. (birch), Fabaceae - Robinia pseudoacacia (black locust); Fagaceae - Fagus spp. (beech), Quercus spp. (oak); Juglandaceae - Juglans spp. (walnut), Rosaceae - Prunus x yedoensis; Salicaceae - Populus spp. (poplar); , Salix spp. (willow), Ulmaceae - Celtis sinensis (Japanese or Chinese hackberry), Ulmus spp. (elm), ",All states,No,4/16/2015
,D,Trichoferus campestris,Velvet longhorned beetle,Arthropod,Moderate,31.6%,49.3%,19.1%,polyphagous on trees. Attacks both living and dead trees,,Most states,No,7/21/2017
,D,Xanthomonas oryzae pv. oryzae,Bacterial leaf blight of rice,Pathogen,Moderate,34.7%,55.0%,10.1%,Rice,,"Arkansas, California, Louisiana, Mississippi, Missouri, Texas",No,9/19/2019
,D,Xylella fastidiosa subsp. pauca,Citrus variegated chlorosis,Pathogen,Moderate,27.5%,58.6%,13.8%,"citrus, alfalfa, nightshade",,"Arizona, California, Florida, Texas",No,9/29/2017
,D,Xylophilus ampelinus,Bacterial blight of grapevine,Pathogen,Moderate,32.0%,57.0%,12.0%,,,,No,6/25/2021
,D,Xylotrechus arvicola,el tornillo (the screw),Arthropod,Moderate,24.0%,50.0%,26.0%,grape,,"Alabama, California, Florida, Idaho, Massachusetts, New York, Oregon, Pennsylvania, Texas, Utah, Virginia, and Washington",No,5/8/2020
CATEGORY 2,"Predicted to be a moderate pest, but with a high degree of uncertainty ",,,,,,,,,,,,
,E,Anguina tritici,Wheat seed gall nematode,Pathogen,Moderate,15.4%,59.5%,25.1%,wheat,barley,All states,Yes -Causes ear-cockle on wheat and has an association with the bacterium Corynebacterium tritici.  Affects human health and animal health.  Freshly harvested infected wheat cockles containing the bacterium are toxic to cattle and sheep. Toxic effects to humans and animals when galls are consumed along with flour.,9/1/2015
,E,Crocidolomia pavonana,Cabbage cluster caterpillar,Arthropod,Moderate,16.0%,48.0%,36.0%,,,,No,6/25/2021
,E,Cylindrocarpon pauciseptatum (Dactylonectria pauciseptata),Grapevine blackfoot disease,Pathogen,Moderate,10.9%,55.8%,33.3%,grape,"apple, kiwi, peach, others","All states, particularly for grape: California, Michigan, New York, Oregon, Pennsylvania, and Washington",No,9/7/2015
,E,Diprion pini,Pine sawfly,Arthropod,Moderate,17.2%,48.3%,34.5%,Scots pine,Pinus spp.,"All states are at risk, but most important hosts are in Washington, Oregon, California, Idaho, Montana, Wyoming, Utah, Colorado, Minnesota, Wisconsin, Michigan, Maine, Vermont, New Hampshire, New York, Massachusetts, New Jersey, Kentucky, Virginia, West Virginia, Tennessee, and North Carolina",No,3/25/2015
,E,Ditylenchus angustus,Rice stem nematode,Pathogen,Moderate,16.3%,59.9%,23.8%,rice,Echinochloa colona ,"Basically southeastern US and California; Rice is mainly grow in California, Arkansas, Louisiana, Mississippi, Missouri, and Texas, but also Florida, South Carolina, Illinois, and Tennessee ",No,9/11/2015
,E,Erwinia pyrifoliae,"Blight of pears, Asian pear blight",Pathogen,Moderate,8.6%,52.0%,39.5%,pear and strawberry,apple (experimental),All states,No,7/2/2015
,E,Monilinia fructigena,Brown rot of fruit,Pathogen,Moderate,13.0%,58.0%,29.0%,"apple, stone fruit, pear","Polyphagous including: Cydonia spp., Chaenomeles spp., Ficus spp., Fragaria spp, Psidium, Rosa spp. Rhododendron spp, Rubus spp, Solanum, Vitis spp. ",All states,No,8/27/2015
,E,Nysius huttoni ,Wheat bug,Arthropod,Moderate,20.0%,49.0%,31.0%,,,,No,3/19/2024
,E,Phytophthora austrocedrae,Mal del Ciprés,Pathogen,Moderate,17.2%,60.1%,22.6%,"Junipers, Chilean cyprus (Austrocedrus chilensis)","Chamaecyparis lawsoniana, Chamaecyparis nootkatensis ","Most states (except extreme south) are at risk, basically west of Texas (excluding Texas), north of Kansas, and east of Alabama (excluding Tennessee and Florida)",No,6/18/2015
,E,Xylotrechus altaicus,Altai larch longhorn beetle,Arthropod,Moderate,17.0%,48.0%,35.0%,Larch,,"Idaho, Oregon, and Washington",No,5/8/2020
,Predicted to be a moderate pest,,,,,,,,,,,,
,F,Aceria litchii,Litchi Mite,Arthropod,Moderate,15.7%,47.3%,37.0%,"litchi (lychee), longan",,"Florida, California, Hawaii",No,3/28/2018
,F,Amphitetranychus viennensis,Hawthorn spider mite,Arthropod,Moderate,18.0%,49.0%,33.0%,"Apple, pear, Prunus",raspberry,All states,No,11/4/2020
,F,Chilo partellus,Spotted stem borer,Arthropod,Moderate,16.4%,47.9%,35.7%,"grasses: corn sorghum, millet (pearl, foxtail, finger), sugarcane, teotsinte, rice, wheat",many wild grasses,"California, Arizona, Texas, Louisiana, Mississippi, Alabama, Georgia, South Carolina, Florida",No,4/7/2015
,F,Citrus yellow vein clearing virus,CYVCV,Pathogen,Moderate,15.0%,59.0%,26.0%,,,,No,4/21/2022
,F,Conotrachelus aguacatae ,Small avocado seed weevil,Arthropod,Moderate,16.0%,47.0%,37.0%,,,,No,3/19/2024
,F,Copturus aguacatae,Avocado stem weevil,Arthropod,Moderate,17.0%,48.0%,35.0%,,,,No,2/16/2024
,F,Crinivirus cucurbit chlorotic yellows virus,Cucurbit chlorotic yellows virus,Pathogen,Moderate,14.6%,59.1%,26.3%,"cucurbits, alfalfa, wild hosts",,"Most states, especially where cucurbits are grown",No,9/22/2017
,F,Euschistus heros,Neotropical brown stinkbug,Arthropod,Moderate,18.0%,49.0%,33.0%,,,,No,5/10/2024
,F,Heterodera cajani,Pigeon Pea Cyst Nematode,Pathogen,Moderate,15.4%,59.5%,25.1%,"legumes (cowpea, sesame, mung bean)",,"AL, AZ, AR, CA, DE, FL, GA, IL, IN, KS, KY, LS, MD, MI, MN, MS, MO, NH, NJ, NM, NY, NC, OH, OK, PA, SC, TN, TX, VA, WV",no,3/27/2018
,F,Hypocryphalus scabricollis,Fig tree borer,Arthropod,Moderate,15.7%,47.3%,36.9%,"figs, other tropical hardwoods",,"California, Texas, Washington, Oregon, and Utah",No,2/9/2018
,F,Ips duplicatus,Double-spined bark beetle,Arthropod,Moderate,17.9%,48.7%,33.3%,spruce; occasionally pine and Douglas-fir,,"The main native ranges of red, white, and black spruce are in Alaska, Oregon, Montana, Wyoming, North Dakota, South Dakota, Nebraska, Minnesota, Wisconsin, Michigan, Iowa, and Illinois. Also, Appalachian Mountains. Douglas-fir is found in Washington, Oregon, California, Idaho, Montana, and throughout the Rocky Mountains. Pines are in all states.",No,7/24/2017
,F,Ips sexdentatus,Six-toothed bark beetle,Arthropod,Moderate,16.0%,48.0%,36.0%,Pinus species,spruce,Most states with Pinus and Picea forests,No,1/13/2020
,F,Lymantria dispar asiatica,Asian gypsy moth,Arthropod,Moderate,18.7%,49.1%,32.1%,Trees and shrubs,,"Most states, especially southern Appalachian Mountains, the Ozark Mountain, and the northern Lake States",Nuisance - can cause allergic reactions,9/19/2019
,F,Mamestra brassicae,Cabbage moth,Arthropod,Moderate,17.2%,48.3%,34.5%,"cabbage, Cruciferae","polyphagous, although they prefer Brassica crops. Beetroots, legumes, lettuces, onions and potatoes are also frequently reported to be infested (alternative hosts [Hill, 1987]). The species is also found on a wide range of other vegetable crops and ornamental flowers in glasshouses and in the open, and on a wide range of deciduous tree species” (Carter, 1984; Hill, 1987; CABI, 2015). 
Host trees include species within Malus (apple), Salix (willow), Quercus (oak), Fagus (beech), Larix (larch) and others (Carter 1984).",Entire United States,No,4/24/2015
,F,Russelliana solanicola ,South American potato psyllid,Arthropod,Moderate,17.0%,48.0%,35.0%,,,,No,7/14/2022
,F,Spodoptera littoralis,Egyptian cottonworm,Arthropod,Moderate,15.7%,47.3%,37.0%,highly polyphagous,"44 families including crucifers, deciduous fruit trees, grasses, legumes, medicinal crops, ornamentals, and many vegetables. Eight families constitute more than 50 percent of the known hosts: Leguminosae, Solanaceae, Malvaceae, Moraceae, Compositae, Gramineae, Chenopodiaceae, and Cruciferae","Most of the continential states except Montana, North Dakota, Minnesota with limited area of South Dakota, Wisconsin, Iowa, Colorado and the New England states. Coastal Alaska, Hawaii, and Puerto Rico. ",No,4/23/2015
,F,Sugarcane streak mosaic virus,SCSMV,Pathogen,Moderate,9.0%,53.0%,38.0%,,,,No,5/10/2024
,F,Tomato apical stunt viroid,TASVd,Pathogen,Moderate,13.0%,58.0%,29.0%,tomato ,other reservoir and experimental hosts,"All states, but the most important for tomato growing are California, Virginia, Georgia, Ohio, Tennessee, North Carolina, New Jersey, and Michigan",No,9/2/2015
,F,Tomato brown rugose fruit virus,ToBRFV,Pathogen,Moderate,14.6%,59.1%,26.3%,"Tomato, pepper",,All states,No,9/27/2019
,F,Xanthomonas oryzae pv. oryzicola,Bacterial leaf streak,Pathogen,Moderate,9.0%,52.0%,39.0%,Rice,,"California, Texas, Louisiana, Arkansas, Mississippi, Alabama, Florida",No,9/19/2019
,Probability of being a moderate vs. low impact pest is roughly equivalent (within 10%),,,,,,,,,,,,
,G,Aeolesthes sarta,City Longhorn Beetle,Arthropod,Mod/low,12.4%,44.1%,43.3%,"apple, walnut","Ulmus, Populus, Salix, Platanus, Malus, Prunus, Pyrus, Juglans, Quercus, Betula, Fraxinus, Acer, Morus, Gleditsia, Robinia, Elaeagnus and other broadleaf trees","The eastern United States, western parts of California, parts of Colorado, Oregon, Washington, Utah, New Mexico and Nevada contain a wide range of potential hosts",No,9/12/2018
,G,Anthonomus pomorum,Apple blossom weevil,Arthropod,Mod/low,14.3%,46.2%,39.5%,"apple, pear",,All states,No,9/20/2019
,G,Aromia bungii,Redneck longhorned beetle,Arthropod,Mod/low,9.8%,40.1%,50.0%,stone fruit,"Meliaceae, Poaceae, Ebenaceae, Oleaceae, Salicaceae, Juglandaceae, Lythraceae and Theaceae ",All states,No,3/27/2015
,G,Aspidiotus rigidus,False coconut scale,Arthropod,Mod/low,13.1%,44.9%,42.1%,"Palms, coconuts","Banana, mangosteen","Hawaii, Florida, Georgia, North Carolina, South Carolina, and Puerto Rico, Louisiana, California, Arizona, Texas",No,4/22/2019
,G,Batocera horsfieldi,Square-spotted longicorn beetle,Arthropod,Mod/low,15.0%,46.8%,38.2%,poplar and willow,"Ebenaceae - Diospyros kaki; Fagaceae - Castanea, Quercus; Juglandaceae - Juglans regia (walnut); Moraceae - Ficus, Morus alba; Rosaceae – Malus, Pirus; Salicaceae - Salix, Populus adenopoda, P. yunnanensis, P. cathayana , P. euramericana ; Ulmaceae: Ulmus",All states,No,4/17/2015
,G,Cacopsylla bidens,Pear psylla,Arthropod,Mod/low,9.8%,40.1%,50.0%,Pear,,Most states,No,9/27/2019
,G,Carpophilus truncatus ,none,Arthropod,Mod/low,11.0%,42.0%,47.0%,,,,No,1/10/2024
,G,Curculio elephas,Chestnut weevil,Arthropod,Mod/low,14.0%,46.0%,40.0%,,,,No,8/1/2022
,G,Dendroctonus micans,European Spruce Beetle,Arthropod,Mod/low,13.6%,45.5%,40.7%,"conifers, especially spruce","pine, fir, larch, Douglas-fir",All states,No,9/12/2018
,G,Edessa meditabunda,Green and brown stink bug,Arthropod,Mod/low,15.0%,42.0%,43.0%,,,,No,2/29/2024
,G,Lymantria mathura,Rosy moth,Arthropod,Mod/low,14.3%,46.2%,39.5%,"polyphagous on trees including chestnut, oak, birch, walnut, pine",,Entire United States,"Maybe - in high populations larvae could rain frass on people and cause other annoyances through sheer numbers. Additionally, people could develop allergies to hairs from larvae and egg masses (similar to L. dispar)",4/14/2015
,G,Meloidogyne fallax,False Columbia root-knot nematode,Pathogen,Mod/low,7.6%,49.7%,42.7%,"potatoes, carrots","tomatoes, black salsify","Washington, Oregon, Nebraska, Idaho, North Dakota, Colorado, Wisconsin, Minnesota, Maine, Michigan, California, Michigan, Texas",No,9/12/2018
,G,Meloidogyne paranaensis,Paranŕ coffee root-knot nematode,Pathogen,Mod/low,7.0%,49.0%,44.0%,coffee,"soybean, with unknown impacts","Hawaii, Louisiana and South Carolina",No,9/25/2020
,G,Metamasius hemipterus,West Indian sugarcane weevil,Arthropod,Mod/low,11.9%,43.4%,44.7%,"sugarcane, banana",some palms,Includes southern states in plant hardiness zones 9-13,No,6/10/2016
,G,Monochamus alternatus,Japanese pine sawyer,Arthropod,Mod/low,14.0%,46.0%,41.0%,pine trees,,Anywhere pine trees are; thrive in southeastern states,No,7/24/2019
,G,Monochamus urussovii ,Black fir sawyer,Arthropod,Mod/low,14.3%,46.2%,39.5%,primarily coniferous trees,,Colder areas such as Alaska and the rocky mountains,No,9/19/2019
,G,Nepovirus tomato black ring virus,Tomato black ring virus,Pathogen,Mod/low,7.6%,49.7%,42.7%,"polyphagous including strawberry, raspberry, artichoke, lettuce, cucumber","virus affects a very wide range of host plant species in at least 29 families, including naturally infected weed and crop plants. some of the naturally infected weed plants include: Capsella bursa-pastoris, Polygonum aviculare, Stellaria media.",All states,No,8/26/2015
,G,Pieris brassicae,Large white (butterfly),Arthropod,Mod/low,14.3%,46.2%,39.5%,"Brussels sprouts, cabbage, cauliflower, Kohlrabi, rape, swede, and turnip","Polyphagous on five main plant families, including: Brassicaceae (=Cruciferae), Tropaeolaceae, Capparaceae, Resedaceae, and Papilionaceae","Entire continental United States, Hawaii, and coastal Alaska. ",Nuisance pest: Full grown larvae can sometimes invade houses and pupate on walls and furniture. ,4/9/2015
,G,Psacothea hilaris,Yellow spotted longhorn beetle,Arthropod,Mod/low,11.9%,43.4%,44.7%,mulberry,"reported on 12 plant species across eight families, this beetle is typically a pest in the Moraceae family, most commonly on species of mulberry (Morus spp.). There are also records of this beetle attacking fig (Ficus carica).","Most of the continental United States, the islands (Hawaii, Puerto Rico), and the coastal areas of Alaska",No,3/26/2015
,G,Resseliella theobaldi ,Raspberry cane midge,Arthropod,Mod/low,13.0%,45.0%,42.0%,,,,No,4/25/2024
,G,Tomicus destruens,Pine shoot beetle,Arthropod,Mod/low,9.8%,40.1%,50.0%,pines ,"Pinus brutia, P. halapensis, P. pinea, P. pinaster, P. canariensis; P. nigra; P. radiata; These species are distributed in Califronia, Arizona, Texas, NC, a few counties in the North East; P radiata is the only native species. ",most of the continental United States and in parts of Alaska and Hawaii. ,No,3/24/2015
,G,Unaspis yanonensis,Arrowhead scale,Arthropod,Mod/low,15.0%,46.8%,38.2%,Citrus,feed almost exclusively on citrus,"suitable habitat primarily in California and Florida, but also in many other parts of the south, Gulf States, southwest, Pacific coast, and Hawaii",No,4/8/2015
,G,Xylella fastidiosa subspecies pauca CoDiRO strain,Quick decline syndrome,Pathogen,Mod/low,5.9%,44.8%,49.3%,"olive, cherry",,"All olive and cherry producing states, especially California",No,9/29/2017
,G,Xylotrechus namanganensis,None,Arthropod,Mod/low,12.0%,44.0%,43.0%,Elm,"forest, ornamental, and fruit trees",Most states with the exception of some of the warmest coastal areas,No,5/8/2020
CATEGORY 3,"Predicted to be a low impact pest, but with high uncertainty",,,,,,,,,,,,
,H,Adoretus sinicus,Chinese rose beetle,Arthropod,Low,9%,37%,54%,"cacao, tea, banana, sugarcane, longan, rose",highly polyphagous,"California, Arizona, Texas, Louisiana, Mississippi, Alabama, Georgia, South Carolina, Florida",No,7/23/2020
,H,Agriotes sputator,Common click beetle,Arthropod,Low,5%,27%,68%,,,,No,6/8/2023
,H,Andean potato mottle virus,APMV,Pathogen,Low,0.3%,4.0%,95.7%,"tomato, pepper, eggplant",,"Idaho, eastern Washington, Wisconsin, North Dakota",No,11/15/2017
,H,Aphanostigma piri,Pear bark aphid,Arthropod,Low,4.7%,26.3%,69.0%,pear,,"California, Oregon, Washington, Michigan, New York, Pennsylvania",No,9/20/2019
,H,Aproceros leucopoda,elm zigzag sawfly,Arthropod,Low,5.0%,26.0%,69.0%,,,,No,8/6/2021
,H,Candidatus Phlomobacter fragariae,Strawberry marginal chlorosis,Pathogen,Low,4.0%,37.0%,59.0%,,,,No,7/15/2022
,H,Candidatus Phytoplasma fragariae',Strawberry yellows phytoplasma,Pathogen,Low,0.9%,12.0%,87.1%,"strawberry, hazelnut, European elderberry, red dogwood, potato",,All states,No,7/24/2017
,H,Candidatus Phytoplasma rubi,Rubus stunt disease,Pathogen,Low,4.0%,37.0%,59.0%,,,,No,10/1/2021
,H,Ceroplastes destructor,Soft Wax Scale,Arthropod,Low,3.4%,21.1%,75.4%,citrus and coffee,avocado and guava,"California, Arizona, Texas, Louisiana, Florida are most at risk; small portions of Washington, Oregon, Alabama, Mississippi, Georgia, and South Carolina may also be at risk. ",No,3/20/2015
,H,Citripestis eutraphera,Mango Fruit Borer,Arthropod,Low,7.7%,35.6%,56.6%,mango and cashew,,"Florida, California, Hawaii, Puerto Rico, and U.S. Virgin Islands",No,1/30/2018
,H,Copitarsia decolora,Copitarsia worm,Arthropod,Low,7.0%,35.0%,58.0%,,,,No,6/25/2021
,H,Darna pallivitta,Nettle Caterpillar,Arthropod,Low,8.0%,37.0%,55.0%,palms,,"Florida, southern California, south Texas, Puerto Rico and the Virgin Islands",Stings homeowners and growers,4/9/2020
,H,Eupoecilia ambiguella,European grape berry moth,Arthropod,Low,9.0%,37.0%,54.0%,grape,,Most states,No,4/3/2020
